name,lat,lon
MCD Primary School Co-Ed Railway Colony Mandawali Delhi,28.62725,77.29675
Ram Kisan Apartment,28.64166,77.29578
Aashirwad Building,28.63633,77.28388
Kirpal Apartment,28.62791,77.30249
Aldine Centre,28.64049,77.29113
Mittal House,28.62539,77.29368
Arvind Kumar Jain & Co. Chartered Accountants,28.63509,77.28171
P. D. Vihar,28.64065,77.28086
Vardan Apartments,28.63096,77.30023
Vishwakarma Park,28.63662,77.28626
Aashirwad Apartments,28.63473,77.30265
Shri Gurunanak Charitable Society,28.64216,77.28249
Maheshwari Building,28.636,77.28269
Vishal Propbuild,28.6489,77.30244
Dipali Sarees,28.63509,77.27943
Goverdhan Apartment,28.63756,77.28422
Bali Niwas,28.63143,77.2835
Balaji Group,28.64799,77.3032
Vikasdeep Buildingnirman,28.63853,77.28705
Agcr Enclave,28.65045,77.29872
Chakarvati General Store,28.62216,77.29185
Sidh Vihar,28.62695,77.3009
Chitra Vihar-Gate No. 3,28.641,77.28615
Gagan Vihar,28.64434,77.29388
New Kamayani Apartments,28.63429,77.30414
Sanchar Lok Apartment,28.63398,77.30129
Madhuban Enclave,28.63163,77.28813
LOTUS Tower,28.63516,77.28305
Urja Vihar Apartments,28.6269,77.28667
Pragatideep Tower,28.63288,77.28331
Kanungo Housing Society,28.62969,77.30444
Mohan Park,28.64042,77.28257
Pal Bhawan,28.62865,77.28399
Kamal Villa,28.63435,77.29007
Park-Ramesh Park,28.63509,77.27768
Himandri Apartment,28.63342,77.28543
Aditi Apartment,28.63472,77.30261
Sukh Sagar Apartments,28.63118,77.30208
Gagan Vihar CHS,28.64529,77.29235
Kuchhal Properties,28.6412,77.29115
Dda Building,28.6368,77.29063
Priyadarshini Vihar,28.64232,77.28197
Narwana Apartment 89,28.6353,77.30292
Silver Park,28.64678,77.28623
Law Apartment,28.64969,77.30058
Sanskrit Apartment,28.636,77.30215
Chawla Park,28.64667,77.295
Agrasen Niwas,28.62544,77.28935
Shukla Villa,28.62691,77.29001
Pragati Deep Building,28.63789,77.28566
Rahul Enterprises,28.63737,77.27942
Anand Vihar,28.63794,77.30076
Ash Associates,28.63918,77.28024
Subhavna Niketan,28.62918,77.29047
Ekta Apartments,28.64258,77.28485
Kholsa Khosla Apartment,28.64392,77.29225
Shanti Mohalla,28.62557,77.29546
Mayurdhawaj Society,28.63261,77.30229
Takshshila Apartments-Alternate Gate,28.63008,77.30466
Vikas Deep Building,28.63856,77.28702
Padam House,28.62921,77.28019
Prince Apartments,28.63063,77.30032
Krishna Apartment,28.63552,77.28189
Mahavir Enclave,28.62695,77.3009
Raj Sadan,28.64194,77.28282
Shakarpur Sundar,28.63059,77.28406
V3s East Centre,28.63681,77.2869
Top on Tower,28.63668,77.28744
Jain Apartment,28.64025,77.29396
Dda Park-Chitra Vihar,28.64108,77.2853
Swastik Apartment,28.63598,77.28003
Mangalam Apartment,28.63688,77.28005
Sadhbhawna,28.62257,77.28981
Bharti Artist's Colony,28.63806,77.29039
CA Building,28.63365,77.28108
Shiv Building,28.62699,77.28315
Keshav Kunj Building,28.62468,77.29678
Sanjay Store,28.63495,77.27824
Aashna Motors,28.64287,77.29613
Yash Homes 3,28.63349,77.27924
Shanti Niwas,28.63972,77.28015
Malbros Tower,28.63942,77.29267
Laxmi Apartment,28.63536,77.28167
Shriram Apartment,28.62805,77.28224
Nirmal Niwas,28.6239,77.29184
Nirman Vihar,28.62633,77.28867
Shanti Apartment,28.62382,77.29352
Shri Krishna Building,28.63145,77.29378
New Surya Kiran Apartments,28.63426,77.30404
Aditya Arcade,28.63825,77.29492
G R Buildwell Site 4,28.63476,77.28476
Mery General Store,28.62216,77.29187
Sukh Vihar-Main Gate,28.64575,77.28914
Preet Vihar,28.63683,77.29937
Baptist Convent Senior Secondary School,28.62921,77.30466
Sahyadri Apartment,28.63349,77.29978
Neethi Apartments,28.63129,77.30177
Chandu Park,28.6468,77.29015
Vidhyut Apartment,28.63738,77.30086
Neelkanth Homes,28.64802,77.28749
Takshila Apartment,28.62973,77.30527
Shri Sai Kamal Properties,28.638,77.2827
Sudhir Jain Apartment,28.63118,77.30608
Kanungo Apartments,28.63131,77.30615
Preet Vihar,28.64759,77.28673
Parshav Vihar,28.63367,77.30781
Radhika Niwas,28.62857,77.2851
Chadha Niwas,28.63129,77.28353
Maruti Apartment,28.6228,77.291
Karkaduma Village,28.64833,77.30384
Gupta Provision Store,28.63491,77.27799
Laxmi Apartments,28.64194,77.2826
LGF Rishabh Tower,28.64802,77.30246
East Baldev Park,28.6481,77.28981
Shakarpur Nirman Vihar,28.62983,77.2855
Gagan Vihar-Main Gate,28.64642,77.29512
Rwa Preet Vihar Block B,28.63563,77.29198
Nisc Education,28.62658,77.29895
