lat,lon,Eat and Drink,Entertainment,Transport,Leisure,Shopping,Services,Facilities
28.63356,77.29843,68,18,13,2,100,100,100
28.62859,77.28859,58,35,7,14,100,100,100
28.63153,77.30252,100,27,11,5,100,100,100
28.64782,77.3023,100,73,26,28,100,100,100
28.63432,77.30117,100,32,13,10,100,100,100
28.62846,77.28216,100,67,39,83,100,100,100
28.6371,77.27779,100,61,15,41,100,100,100
28.64175,77.29168,100,40,25,18,100,100,100
28.63466,77.29882,82,19,12,2,100,100,100
28.64686,77.28653,63,59,5,12,100,100,100
28.63737,77.30085,98,33,8,8,100,100,100
28.63248,77.2838,100,57,44,100,100,100,100
28.63297,77.30365,100,32,11,14,100,100,100
28.64025,77.29396,100,25,28,17,100,100,100
28.62437,77.29382,75,43,18,6,100,100,100
28.64846,77.29205,75,46,9,20,100,100,100
28.62743,77.29059,56,33,5,6,100,100,100
28.63172,77.30617,95,28,15,8,100,100,100
28.62405,77.29726,72,34,17,8,100,100,100
28.64905,77.29805,97,77,15,29,100,100,100
28.63595,77.2791,100,66,30,99,100,100,100
28.64011,77.29106,100,36,25,13,100,100,100
28.63311,77.29941,95,20,13,3,100,100,100
28.63146,77.30232,100,27,12,6,100,100,100
28.64143,77.27922,100,63,8,20,100,100,100
28.62725,77.29675,78,44,9,7,100,100,100
28.64166,77.29578,100,22,28,19,100,100,100
28.63633,77.28388,100,60,49,100,100,100,100
28.62791,77.30249,70,37,8,14,100,100,100
28.64049,77.29113,91,36,26,15,100,100,100
28.62539,77.29368,77,45,14,7,100,100,100
28.63509,77.28171,100,70,55,100,100,100,100
28.64065,77.28086,100,52,10,31,100,100,100
28.63096,77.30023,82,31,15,10,100,100,100
28.63662,77.28626,100,50,41,56,100,100,100
28.63473,77.30265,100,33,13,11,100,100,100
28.64216,77.28249,99,55,8,22,100,100,100
28.636,77.28269,100,65,54,100,100,100,100
28.6489,77.30244,100,76,30,32,100,100,100
28.63509,77.27943,100,61,37,100,100,100,100
28.63756,77.28422,100,47,43,74,100,100,100
28.63143,77.2835,100,58,45,100,100,100,100
28.64799,77.3032,100,74,28,30,100,100,100
28.63853,77.28705,100,48,36,36,100,100,100
28.65045,77.29872,100,68,20,18,100,100,100
28.62216,77.29185,50,27,11,5,100,100,100
28.62695,77.3009,76,44,13,14,100,100,100
28.641,77.28615,100,60,16,28,100,100,100
28.64434,77.29388,100,36,19,29,100,100,100
28.63429,77.30414,100,34,10,15,100,100,100
28.63398,77.30129,100,37,13,12,100,100,100
28.63163,77.28813,82,34,11,21,100,100,100
28.63516,77.28305,100,67,57,100,100,100,100
28.6269,77.28667,62,36,12,17,100,100,100
28.63288,77.28331,100,59,45,100,100,100,100
28.62969,77.30444,84,32,10,14,100,100,100
28.64042,77.28257,100,51,16,33,100,100,100
28.62865,77.28399,100,49,19,52,100,100,100
28.63435,77.29007,100,39,20,14,100,100,100
28.63509,77.27768,100,74,38,85,100,100,100
28.63342,77.28543,100,51,43,100,100,100,100
28.63472,77.30261,100,33,12,11,100,100,100
28.63118,77.30208,100,28,12,7,100,100,100
28.64529,77.29235,100,42,7,27,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.6368,77.29063,100,41,22,10,100,100,100
28.64232,77.28197,100,54,7,21,100,100,100
28.6353,77.30292,100,32,12,12,100,100,100
28.64678,77.28623,60,60,4,12,100,100,100
28.64969,77.30058,100,74,21,32,100,100,100
28.636,77.30215,100,32,11,12,100,100,100
28.64667,77.295,100,74,12,31,100,100,100
28.62544,77.28935,54,34,10,6,100,100,100
28.62691,77.29001,59,37,10,7,100,100,100
28.63789,77.28566,100,54,38,54,100,100,100
28.63737,77.27942,100,58,18,67,100,100,100
28.63794,77.30076,85,30,5,8,100,100,100
28.63918,77.28024,100,56,11,36,100,100,100
28.62918,77.29047,51,28,6,10,100,100,100
28.64258,77.28485,72,57,5,19,100,100,100
28.64392,77.29225,100,44,21,25,100,100,100
28.62557,77.29546,78,44,15,7,100,100,100
28.63261,77.30229,100,32,14,13,100,100,100
28.63008,77.30466,82,30,8,14,100,100,100
28.63856,77.28702,100,49,36,37,100,100,100
28.62921,77.28019,100,85,59,100,100,100,100
28.63063,77.30032,79,33,13,11,100,100,100
28.63552,77.28189,100,67,54,100,100,100,100
28.62695,77.3009,76,44,13,14,100,100,100
28.64194,77.28282,91,53,8,24,100,100,100
28.63059,77.28406,100,53,36,98,100,100,100
28.63681,77.2869,100,45,37,47,100,100,100
28.63668,77.28744,100,46,36,39,100,100,100
28.64025,77.29396,100,25,28,17,100,100,100
28.64108,77.2853,100,59,15,25,100,100,100
28.63598,77.28003,100,56,39,100,100,100,100
28.63688,77.28005,100,63,34,93,100,100,100
28.62257,77.28981,60,35,20,8,100,100,100
28.63806,77.29039,100,40,26,14,100,100,100
28.63365,77.28108,100,62,57,100,100,100,100
28.62699,77.28315,100,51,25,44,100,100,100
28.62468,77.29678,77,40,17,9,100,100,100
28.63495,77.27824,100,76,42,100,100,100,100
28.64287,77.29613,100,20,25,20,100,100,100
28.63349,77.27924,100,67,53,100,100,100,100
28.63972,77.28015,100,56,11,30,100,100,100
28.63942,77.29267,100,32,27,18,100,100,100
28.63536,77.28167,100,70,54,100,100,100,100
28.62805,77.28224,100,65,33,74,100,100,100
28.6239,77.29184,67,33,12,5,100,100,100
28.62633,77.28867,57,32,11,12,100,100,100
28.62382,77.29352,69,39,16,6,100,100,100
28.63145,77.29378,58,24,8,3,100,100,100
28.63426,77.30404,100,33,12,15,100,100,100
28.63825,77.29492,98,25,27,11,100,100,100
28.63476,77.28476,100,51,49,100,100,100,100
28.62216,77.29187,50,27,11,5,100,100,100
28.64575,77.28914,75,52,1,20,100,100,100
28.63683,77.29937,80,33,14,4,100,100,100
28.62921,77.30466,79,30,9,13,100,100,100
28.63349,77.29978,100,23,14,4,100,100,100
28.63129,77.30177,100,28,13,7,100,100,100
28.6468,77.29015,79,60,3,22,100,100,100
28.63738,77.30086,98,33,8,8,100,100,100
28.64802,77.28749,99,59,7,14,100,100,100
28.62973,77.30527,72,28,9,12,100,100,100
28.638,77.2827,100,48,46,79,100,100,100
28.63118,77.30608,79,24,10,7,100,100,100
28.63131,77.30615,82,25,13,7,100,100,100
28.64759,77.28673,78,54,5,13,100,100,100
28.63367,77.30781,87,26,17,16,100,100,100
28.62857,77.2851,97,42,12,34,100,100,100
28.63129,77.28353,100,58,44,100,100,100,100
28.6228,77.291,53,32,10,6,100,100,100
28.64833,77.30384,100,76,28,32,100,100,100
28.63491,77.27799,100,77,45,100,100,100,100
28.64194,77.2826,98,52,8,24,100,100,100
28.64802,77.30246,100,74,27,30,100,100,100
28.6481,77.28981,98,63,8,19,100,100,100
28.62983,77.2855,100,47,11,52,100,100,100
28.64642,77.29512,100,70,11,32,100,100,100
28.63563,77.29198,92,27,13,7,100,100,100
28.62658,77.29895,78,43,10,14,100,100,100
28.63876,77.2878,100,48,27,36,100,100,100
28.62619,77.28514,81,40,24,21,100,100,100
28.63448,77.3017,100,30,13,11,100,100,100
28.63029,77.2828,100,68,46,100,100,100,100
28.63201,77.30261,100,31,12,7,100,100,100
28.6339,77.29022,100,33,16,12,100,100,100
28.64119,77.29115,96,40,25,15,100,100,100
28.63269,77.30741,84,23,18,16,100,100,100
28.63613,77.2791,100,63,29,91,100,100,100
28.64794,77.30205,100,73,27,29,100,100,100
28.63419,77.29852,73,14,12,2,100,100,100
28.63255,77.29867,66,22,13,1,100,100,100
28.64308,77.28381,91,64,4,21,100,100,100
28.64929,77.28973,100,66,12,18,100,100,100
28.64128,77.29141,100,41,27,17,100,100,100
28.62972,77.30407,88,32,9,13,100,100,100
28.6335,77.30033,100,29,14,6,100,100,100
28.63719,77.28276,100,47,49,96,100,100,100
28.6425,77.28689,63,53,3,20,100,100,100
28.64665,77.28813,78,55,4,19,100,100,100
28.63768,77.28574,100,55,38,53,100,100,100
28.64095,77.29105,92,40,25,15,100,100,100
28.62782,77.30277,74,36,7,14,100,100,100
28.64158,77.28372,75,52,11,24,100,100,100
28.63239,77.28,100,76,54,100,100,100,100
28.63746,77.27971,100,59,20,68,100,100,100
28.63293,77.28005,100,73,54,100,100,100,100
28.6445,77.29286,100,39,13,26,100,100,100
28.63184,77.30151,100,27,15,5,100,100,100
28.64949,77.29231,83,46,12,22,100,100,100
28.64139,77.2948,100,23,27,20,100,100,100
28.63202,77.29862,66,22,12,3,100,100,100
28.6267,77.29189,71,36,9,6,100,100,100
28.63522,77.30107,100,31,12,10,100,100,100
28.64763,77.2922,65,46,7,24,100,100,100
28.63341,77.28398,100,60,53,100,100,100,100
28.64327,77.28246,100,55,4,19,100,100,100
28.62877,77.28389,100,50,21,60,100,100,100
28.63087,77.30027,82,31,15,10,100,100,100
28.6229,77.29295,55,34,11,5,100,100,100
28.62982,77.28614,88,45,9,35,100,100,100
28.63395,77.30051,100,29,14,6,100,100,100
28.63397,77.30501,100,33,10,14,100,100,100
28.63195,77.30431,100,30,9,13,100,100,100
28.64232,77.29598,100,22,27,20,100,100,100
28.63483,77.28202,100,67,56,100,100,100,100
28.6459,77.29644,100,69,13,34,100,100,100
28.639,77.28055,100,53,16,42,100,100,100
28.64639,77.30143,100,69,21,29,100,100,100
28.64145,77.28299,91,47,12,25,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.63701,77.27792,100,62,16,47,100,100,100
28.64377,77.27924,94,55,8,14,100,100,100
28.64177,77.28107,100,49,8,21,100,100,100
28.63297,77.2856,100,52,43,98,100,100,100
28.62819,77.28287,100,59,28,65,100,100,100
28.63789,77.28463,100,53,42,66,100,100,100
28.63982,77.2887,100,44,21,26,100,100,100
28.62701,77.29335,80,42,8,6,100,100,100
28.6256,77.30211,57,43,13,11,100,100,100
28.6348,77.27908,100,63,42,100,100,100,100
28.63875,77.27915,100,48,12,35,100,100,100
28.6461,77.30186,100,69,21,27,100,100,100
28.63362,77.30525,100,33,10,14,100,100,100
28.6331,77.29998,100,23,14,5,100,100,100
28.62469,77.29854,74,35,13,9,100,100,100
28.62926,77.29708,78,39,9,7,100,100,100
28.64675,77.2882,81,56,5,19,100,100,100
28.63592,77.29892,81,25,15,3,100,100,100
28.63708,77.27897,100,56,18,60,100,100,100
28.63773,77.30135,91,30,5,9,100,100,100
28.63599,77.27942,100,65,30,100,100,100,100
28.63742,77.30233,91,28,6,8,100,100,100
28.64293,77.29607,100,20,25,20,100,100,100
28.64304,77.28581,69,54,2,19,100,100,100
28.63281,77.28105,100,64,55,100,100,100,100
28.63551,77.27909,100,69,35,100,100,100,100
28.62919,77.2972,77,43,10,7,100,100,100
28.6412,77.29115,96,40,25,15,100,100,100
28.6268,77.28716,60,36,11,15,100,100,100
28.65089,77.29595,18,24,10,12,100,100,100
28.62863,77.28277,100,65,29,76,100,100,100
28.63683,77.28269,100,49,51,100,100,100,100
28.64007,77.29315,100,27,27,18,100,100,100
28.63688,77.29933,78,33,14,5,100,100,100
28.63586,77.28577,100,54,44,79,100,100,100
28.62258,77.28985,60,35,20,8,100,100,100
28.64683,77.2826,100,70,5,11,100,100,100
28.64668,77.3003,100,70,17,29,100,100,100
28.64004,77.28304,100,57,19,39,100,100,100
28.6479,77.29737,76,73,14,28,100,100,100
28.63487,77.30402,100,35,9,13,100,100,100
28.62274,77.29315,55,33,13,5,100,100,100
28.62721,77.29984,80,43,10,15,100,100,100
28.63215,77.27914,100,86,59,100,100,100,100
28.63677,77.30064,97,31,10,9,100,100,100
28.64338,77.28802,44,51,0,18,100,100,100
28.63195,77.30431,100,30,9,13,100,100,100
28.62984,77.28405,100,53,24,79,100,100,100
28.63264,77.30242,100,32,12,13,100,100,100
28.64502,77.30357,100,65,18,22,100,100,100
28.63076,77.28402,100,53,40,100,100,100,100
28.62852,77.30474,73,32,11,15,100,100,100
28.64582,77.3007,100,68,16,28,100,100,100
28.64032,77.27918,100,56,10,26,100,100,100
28.62622,77.30259,58,37,13,13,100,100,100
28.64306,77.29687,100,65,29,25,100,100,100
28.63362,77.30524,100,33,10,14,100,100,100
28.63097,77.30086,76,30,15,10,100,100,100
28.63337,77.28485,100,55,48,100,100,100,100
28.63408,77.28999,100,35,18,13,100,100,100
28.64665,77.2899,80,60,2,22,100,100,100
28.62774,77.29749,81,39,8,8,100,100,100
28.65115,77.28844,92,49,14,15,100,100,100
28.63496,77.28194,100,66,55,100,100,100,100
28.62468,77.29678,77,40,17,9,100,100,100
28.63825,77.2876,100,47,37,34,100,100,100
28.63473,77.30468,100,33,8,13,100,100,100
28.64842,77.30203,100,74,27,32,100,100,100
28.63544,77.30235,100,33,11,12,100,100,100
28.63334,77.27936,100,67,53,100,100,100,100
28.62985,77.28521,100,49,14,62,100,100,100
28.6321,77.30422,100,33,9,14,100,100,100
28.63453,77.28564,100,50,47,96,100,100,100
28.64802,77.30246,100,74,27,30,100,100,100
28.62492,77.29257,77,45,13,6,100,100,100
28.64795,77.29137,81,53,9,20,100,100,100
28.62544,77.29884,82,36,11,12,100,100,100
28.64477,77.2824,92,62,4,17,100,100,100
28.63628,77.3041,94,33,7,12,100,100,100
28.63607,77.27942,100,64,30,100,100,100,100
